CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha
37530,Colinas de San Isidro,0,0,0,0,0,0,0,0,0,0,1/2025
37530,Colinas de Santa Julia,0,0,0,0,0,0,0,0,0,0,1/2025
37299,Colinas del Carmen,0,0,0,0,0,0,0,0,0,0,1/2025
37440,Colinas San Francisco,0,0,0,0,0,0,0,0,0,0,1/2025
37353,Complejo La Cima,0,0,0,0,0,0,0,0,0,0,1/2025
37564,Condominio Industrial León,0,0,0,0,0,0,0,0,0,0,1/2025
37570,Conjunto habitacional Cedros,0,0,0,0,0,0,0,0,0,0,1/2025
37295,Conjunto habitacional Hera,0,0,0,0,0,0,0,0,0,0,1/2025
37148,Conjunto habitacional Los Nogales,0,0,0,0,0,0,0,0,0,0,1/2025
37355,Convive,0,0,0,0,0,0,0,0,0,0,1/2025
37669,Cordillera,2,0,0,0,0,0,0,0,0,0,1/2025
37433,Corral de Piedra,0,0,0,0,0,0,0,0,0,0,1/2025
37433,Cortijos de La Gloria,0,0,0,0,0,0,0,0,0,0,1/2025
37134,Country Club Gran Jardín,0,0,0,0,0,0,0,0,0,0,1/2025
37358,Country del Lago,0,0,0,0,0,0,0,0,0,0,1/2025
37294,Cristo Rey,0,0,0,0,0,0,0,0,0,0,1/2025
37357,Cruz de la Soledad,0,0,0,0,0,0,0,0,0,0,1/2025
37673,Cuesta Blanca,0,0,0,0,0,0,0,0,0,0,1/2025
37294,Cuesta del Rocío,0,0,0,0,0,0,0,0,0,0,1/2025
37369,Cumbres de Arbide,0,0,0,0,0,0,0,0,0,0,1/2025
37433,Cumbres de la Gloria,0,0,0,0,0,0,0,0,0,0,1/2025
37416,Cumbres de La Piscina,0,0,0,0,0,0,0,0,0,0,1/2025
37550,Cumbres de la Pradera,0,0,0,0,0,0,0,0,0,0,1/2025
37238,Cumbres de Medina,0,0,0,0,0,0,0,0,0,0,1/2025
37128,Cumbres del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025
37440,Cumbres del Sol,0,0,0,0,0,0,0,0,0,0,1/2025
37358,Danubio Azul,0,0,0,0,0,0,0,0,0,0,1/2025
37683,De los Sauces,0,0,0,0,0,0,0,0,0,0,1/2025
37327,De Santiago,0,0,0,0,2,0,0,0,0,0,1/2025
37416,Del Cosmos (San Bernardo),0,0,0,0,0,0,0,0,0,0,1/2025
37160,Del Rocío,0,0,0,0,0,0,0,0,0,0,1/2025
37549,Delta 2000,0,0,0,0,0,0,0,0,0,0,1/2025
37545,Delta de Jerez,0,0,0,0,0,0,0,0,0,0,1/2025
37318,Desarrollo Baleares,0,0,0,0,0,0,0,0,0,0,1/2025
37296,Desarrollo El Potrero,0,0,0,0,2,0,0,0,0,0,1/2025
