CP,Colonia,RACH-F,RAN-F,RAT-F,RDV-F,RCV-F,RACH-S,RAN-S,RAT-S,RDV-S,RCV-S,Fecha,Periodo
37207,El Consuelo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37250,El Cortijo,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37209,El Cuarenteño,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,El Cuije,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37650,El Derramadero,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37590,El Dorado,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37590,El Dorado II,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37320,El Duraznal,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37544,El Encanto,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,El Faro,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37550,El Granjeno,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37570,El Guajito,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37180,El Juncal,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37210,El Llano Grande,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37249,El Lucero,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37547,El Mayorazgo Residencial,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37156,El Mirador Campestre,2,0,0,0,2,0,0,0,0,0,1/2025,ENE-24
37500,El Mirador Oriental,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37138,El Molino Residencial y Golf,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37664,El Nacimiento,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,El Observatorio 2,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37480,El Paisaje,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,El Palmar,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37130,El Palote,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37170,El Palote Sur Fracciones,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37109,El Parador,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,El Paraíso,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37669,El Pato (Loma del Laurel),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37119,El Peluchan,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,El Penitente,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37238,El Peñón,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37690,El Pino (Potrero de la Caja),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37109,El Pochote,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37299,El Porvenir,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37109,El Potrero,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37668,El Progreso,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37157,El Pueblito del Campestre,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37660,El Puente,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37667,El Ramillete,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37433,El Recuerdo,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37270,El Refugio,0,2,0,0,2,0,0,0,0,0,1/2025,ENE-24
37156,El Refugio Campestre,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37355,El Renacimiento,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,El Resplandor (El Chorro),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37220,El Retiro,0,2,0,0,0,0,0,0,0,0,1/2025,ENE-24
37125,El Rosario,2,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37297,El Rotario,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37358,El Rubí,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37428,El Salto,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37698,El Sauco,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,El Tajo (Carlos Muñoz Horta),0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37100,El Tecotán,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37500,El Tlacuache,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37526,El Tlacuache Ote.,0,0,0,2,0,0,0,0,0,0,1/2025,ENE-24
37687,El Tope de la Sandía,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37547,El Trébol,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37188,El Trianon,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,El Valladito,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,El Vivero,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37353,El Yacimiento,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37125,Entre dos Aguas,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37207,Ermita de Ibarrilla,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37294,Esmeralda del Bajío,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37330,España,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37266,Españita,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37685,Estación Trinidad,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37357,Estancia de la Joya,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
37667,Estancia de los Sapos,0,0,0,0,0,0,0,0,0,0,1/2025,ENE-24
